X,force,cooperation,welfare,military,tie,economy,gdp,tension,trade,Total Count,Total Count Overall
reduce,,,,0-100,,,,,,1,1
mark,,,,100-0,,,,100-0,,4,4
reaffirm,,100-0,,,,,,,,1,1
reiterate,,,,,100-0,,,,,1,1
note,,100-0,,,,,,,,1,1
continue,,,,,,,,100-0,,1,1
be,,100-0,,100-0,,100-0,,,100-0,7,7
use,,,,,,100-0,,,,1,1
surge,,,,,,100-0,,,,1,1
pass,,,,,,100-0,,,,1,1
grow,,,,,,100-0,100-0,,,2,2
echo,,,,,,100-0,,,,2,2
escalate,,,,100-0,,,,,,1,1
say,,100-0,,100-0,100-0,100-0,100-0,100-0,100-0,16,16
project,,,,,,100-0,,,,1,1
formulate,,,,,,,,,100-0,1,1
